shooting_player_id,total_es_attempts,rebound_attempts,rebound_attempt_rate,reb_rate_ci_lo,reb_rate_ci_hi,rebound_goals,rebound_sh_pct,confirmed_netfront,rank_by_rate,rank_by_goals
8476858,51,3,0.0588,0.0202,0.1592,0,,False,343,485
8484144,359,21,0.0585,0.0386,0.0878,3,0.1429,False,346,130
8480845,69,4,0.058,0.0228,0.1398,1,,False,347,325
8481743,69,4,0.058,0.0228,0.1398,0,,False,347,485
8474564,276,16,0.058,0.036,0.0921,5,0.3125,False,347,42
8479383,52,3,0.0577,0.0198,0.1564,2,,False,350,215
8475692,226,13,0.0575,0.0339,0.0959,1,0.0769,False,351,325
8483573,87,5,0.0575,0.0248,0.1276,1,,False,351,325
8482146,314,18,0.0573,0.0366,0.0888,2,0.1111,False,353,215
8482126,70,4,0.0571,0.0224,0.1379,1,,False,354,325
8482259,368,21,0.0571,0.0376,0.0857,6,0.2857,False,354,23
8479314,228,13,0.057,0.0336,0.0951,3,0.2308,False,356,130
8476872,246,14,0.0569,0.0342,0.0932,3,0.2143,False,357,130
8479343,405,23,0.0568,0.0381,0.0838,3,0.1304,False,358,130
8479525,319,18,0.0564,0.036,0.0874,3,0.1667,False,359,130
8478403,428,24,0.0561,0.038,0.0821,6,0.25,False,360,23
8476448,197,11,0.0558,0.0315,0.0972,3,0.2727,False,361,130
8480802,180,10,0.0556,0.0305,0.0992,2,0.2,False,362,215
8481013,126,7,0.0556,0.0272,0.1102,1,,False,362,325
8482159,217,12,0.0553,0.0319,0.0942,1,0.0833,False,364,325
8481582,253,14,0.0553,0.0332,0.0907,2,0.1429,False,364,215
8478874,127,7,0.0551,0.027,0.1094,2,,False,366,215
8477503,236,13,0.0551,0.0325,0.092,3,0.2308,False,366,130
8482097,236,13,0.0551,0.0325,0.092,1,0.0769,False,366,325
8479987,292,16,0.0548,0.034,0.0871,7,0.4375,False,369,10
8475791,219,12,0.0548,0.0316,0.0933,1,0.0833,False,369,325
8482124,311,17,0.0547,0.0344,0.0858,2,0.1176,False,371,215
8480027,422,23,0.0545,0.0366,0.0805,5,0.2174,False,372,42
8482667,258,14,0.0543,0.0326,0.089,5,0.3571,False,373,42
8482172,74,4,0.0541,0.0212,0.1309,0,,False,374,485
